Feature,Coefficient,Absolute_Value,Importance_Rank
Albumin,-1.1799474579368079,1.1799474579368079,4
Total_Protiens,0.8663117450931154,0.8663117450931154,6
Direct_Bilirubin,0.6678647288187171,0.6678647288187171,3
Albumin_and_Globulin_Ratio,0.5383970272438384,0.5383970272438384,2
Alamine_Aminotransferase,0.3634139878198866,0.3634139878198866,5
Age,0.3428697955481552,0.3428697955481552,8
Aspartate_Aminotransferase,0.28960645906648846,0.28960645906648846,1
Alkaline_Phosphotase,0.2497084525531096,0.2497084525531096,9
Total_Bilirubin,-0.20310377892354642,0.20310377892354642,7
Gender,0.06451730871553549,0.06451730871553549,10
