Feature,Coefficient,Absolute_Value,Importance_Rank,Odds_Ratio
Albumin,-1.1799474579368079,1.1799474579368079,4,0.3072948840841872
Total_Protiens,0.8663117450931154,0.8663117450931154,6,2.3781235327572605
Direct_Bilirubin,0.6678647288187171,0.6678647288187171,3,1.950068945892797
Albumin_and_Globulin_Ratio,0.5383970272438384,0.5383970272438384,2,1.7132583534162573
Alamine_Aminotransferase,0.3634139878198866,0.3634139878198866,5,1.4382311461886383
Age,0.3428697955481552,0.3428697955481552,8,1.4089852938246885
Aspartate_Aminotransferase,0.28960645906648846,0.28960645906648846,1,1.3359016525799368
Alkaline_Phosphotase,0.2497084525531096,0.2497084525531096,9,1.2836511169214857
Total_Bilirubin,-0.20310377892354642,0.20310377892354642,7,0.8161935333439332
Gender,0.06451730871553549,0.06451730871553549,10,1.0666440403231425
